FID,id,ORIG_FID,x,y
0,2,0,466039.584520999982487,3957386.126310000196099
1,2,0,466051.263995999994222,3957319.264680000022054
2,2,0,466081.602669999992941,3957270.837470000144094
3,3,1,466303.822742999996990,3957667.184609999880195
4,3,1,466330.906449000001885,3957637.472860000096262
5,3,1,466346.728752999973949,3957630.594930000137538
6,4,2,451269.552441000007093,3944494.896579999942333
7,4,2,451391.082134999975096,3944481.708589999936521
8,4,2,451391.194237000017893,3944481.696419999934733
9,4,2,451397.988110999984201,3944480.959170000161976
10,4,2,451398.071249999979045,3944480.950149999931455
11,4,2,451429.036222999973688,3944477.589939999859780
12,4,2,451503.585359000018798,3944475.029600000008941
13,5,3,451183.071855999995023,3944556.849119999911636
14,5,3,451265.004566000017803,3944557.617529999930412
15,5,3,451302.433294999995269,3944565.167410000227392
16,5,3,451302.499418999999762,3944565.180749999824911
17,5,3,451368.997060000023339,3944578.594229999929667
18,5,3,451369.039182999986224,3944578.602719999849796
19,5,3,451376.041405999974813,3944580.015170000027865
20,5,3,451376.162458000006154,3944580.039590000174940
21,5,3,451376.896645999979228,3944580.187679999973625
22,5,3,451376.929604000004474,3944580.194329999852926
23,5,3,451388.761378000024706,3944582.580959999933839
24,5,3,451388.861075000022538,3944582.601069999858737
25,5,3,451397.213997000013478,3944584.285970000084490
26,5,3,451467.299319999990985,3944593.116340000182390
27,6,4,456428.841696000017691,3944912.815890000201762
28,6,4,456451.903373999986798,3944915.728769999928772
29,6,4,456506.438548000005540,3944932.608010000083596
30,6,4,456554.623515999992378,3944945.736370000056922
31,6,4,456603.340679000015371,3944964.157409999985248
32,6,4,456644.986002999998163,3944986.647429999895394
33,7,5,456482.290433000016492,3944862.881440000142902
34,7,5,456511.521720000018831,3944884.423220000229776
35,7,5,456548.335969000007026,3944902.902269999962300
