FID,id,ORIG_FID,NorthingY,EastingX
0,2,0,3957386.126310000196099,466039.584520999982487
1,2,0,3957319.264680000022054,466051.263995999994222
2,2,0,3957270.837470000144094,466081.602669999992941
3,3,1,3957667.184609999880195,466303.822742999996990
4,3,1,3957637.472860000096262,466330.906449000001885
5,3,1,3957630.594930000137538,466346.728752999973949
6,4,2,3944494.896579999942333,451269.552441000007093
7,4,2,3944481.887149999849498,451389.436607000010554
8,4,2,3944481.869959999807179,451389.595099000027403
9,4,2,3944481.139489999972284,451396.326436000003014
10,4,2,3944481.124770000111312,451396.462142999982461
11,4,2,3944477.589939999859780,451429.036222999973688
12,4,2,3944469.632999999914318,451660.718047000002116
13,5,3,3944556.849119999911636,451183.071855999995023
14,5,3,3944557.617529999930412,451265.004566000017803
15,5,3,3944564.864839999936521,451300.933286999992561
16,5,3,3944564.873310000170022,451300.975248000002466
17,5,3,3944579.446190000046045,451373.220696999982465
18,5,3,3944579.454930000007153,451373.264032999984920
19,5,3,3944579.863549999892712,451375.289769000024535
20,5,3,3944579.870810000225902,451375.325758000020869
21,5,3,3944582.361949999816716,451387.675626999989618
22,5,3,3944582.370939999818802,451387.720185999991372
23,5,3,3944584.285970000084490,451397.213997000013478
24,5,3,3944622.212449999991804,451698.230763000028674
25,6,4,3944912.815890000201762,456428.841696000017691
26,6,4,3944915.728769999928772,456451.903373999986798
27,6,4,3944932.608010000083596,456506.438548000005540
28,6,4,3944945.736370000056922,456554.623515999992378
29,6,4,3944964.157409999985248,456603.340679000015371
30,6,4,3944986.647429999895394,456644.986002999998163
31,7,5,3944862.881440000142902,456482.290433000016492
32,7,5,3944884.423220000229776,456511.521720000018831
33,7,5,3944902.902269999962300,456548.335969000007026
