FID,id,ORIG_FID,X_eastomg,Y_northing
0,2,0,466039.584520999982487,3957386.126310000196099
1,2,0,466051.263995999994222,3957319.264680000022054
2,2,0,466081.602669999992941,3957270.837470000144094
3,3,1,466303.822742999996990,3957667.184609999880195
4,3,1,466330.906449000001885,3957637.472860000096262
5,3,1,466346.728752999973949,3957630.594930000137538
6,4,2,451269.552441000007093,3944494.896579999942333
7,4,2,451429.036222999973688,3944477.589939999859780
8,4,2,451660.718047000002116,3944469.632999999914318
9,5,3,451183.071855999995023,3944556.849119999911636
10,5,3,451265.004566000017803,3944557.617529999930412
11,5,3,451397.213997000013478,3944584.285970000084490
12,5,3,451698.230763000028674,3944622.212449999991804
13,6,4,456428.841696000017691,3944912.815890000201762
14,6,4,456451.903373999986798,3944915.728769999928772
15,6,4,456506.438548000005540,3944932.608010000083596
16,6,4,456554.623515999992378,3944945.736370000056922
17,6,4,456603.340679000015371,3944964.157409999985248
18,6,4,456644.986002999998163,3944986.647429999895394
19,7,5,456482.290433000016492,3944862.881440000142902
20,7,5,456492.162990999990143,3944870.156950000207871
21,7,5,456492.212410999985877,3944870.193369999993593
22,7,5,456492.317207999993116,3944870.270599999930710
23,7,5,456492.349869999976363,3944870.294670000206679
24,7,5,456493.348974999971688,3944871.030950000043958
25,7,5,456493.382953999971505,3944871.055989999789745
26,7,5,456505.243070999975316,3944879.796219999901950
27,7,5,456505.290670000016689,3944879.831300000194460
28,7,5,456511.521720000018831,3944884.423220000229776
29,7,5,456540.371174000028986,3944898.904310000129044
30,7,5,456540.648450999986380,3944899.043490000069141
31,7,5,456542.410259999975096,3944899.927840000018477
32,7,5,456542.730052999977488,3944900.088359999936074
33,7,5,456548.335969000007026,3944902.902269999962300
